name_ko,name_en,name_scientific,ins_number,cas_number,aliases,usage_condition,is_allowed,law_source
금박,Gold Leaf,,,,,,True,식품첨가물공전
김색소,Laver Color,,,,,,True,식품첨가물공전
나린진,Naringin,,,,,,True,식품첨가물공전
나타마이신,Natamycin,,,,,,True,식품첨가물공전
낙산,Butyric Acid,,,,,,True,식품첨가물공전
낙산부틸,Butyl Butyrate,,,,,,True,식품첨가물공전
낙산에틸,Ethyl Butyrate,,,,,,True,식품첨가물공전
낙산이소아밀,Isoamyl Butyrate,,,,,,True,식품첨가물공전
네오탐,Neotame,,,,,,True,식품첨가물공전
γ-노나락톤,γ-Nonalactone,,,,,,True,식품첨가물공전
32	규산칼슘,Calcium Silicate,,,,,,True,식품첨가물공전
33	규소수지,Silicone Resin,,,,,,True,식품첨가물공전
34	글루코노-δ-락톤,Glucono-δ-Lactone,,,,,,True,식품첨가물공전
35	글루코만난,Glucomannan,,,,,,True,식품첨가물공전
36	글루코사민,Glucosamine,,,,,,True,식품첨가물공전
37	글루콘산,Gluconic Acid,,,,,,True,식품첨가물공전
38	글루콘산나트륨,Sodium Gluconate,,,,,,True,식품첨가물공전
39	글루콘산마그네슘,Magnesium Gluconate,,,,,,True,식품첨가물공전
40	글루콘산철,Ferrous Gluconate,,,,,,True,식품첨가물공전
41	글루콘산칼륨,Potassium Gluconate,,,,,,True,식품첨가물공전
42	글루콘산칼슘,Calcium Gluconate,,,,,,True,식품첨가물공전
43	L-글루탐산,L-Glutamic Acid,,,,,,True,식품첨가물공전
44	L-글루탐산나트륨,Monosodium L-Glutamate,,,,,,True,식품첨가물공전
45	글루탐산마그네슘,Magnesium di-L-Glutamate,,,,,,True,식품첨가물공전
46	L-글루탐산암모늄,Monoammonium L-Glutamate,,,,,,True,식품첨가물공전
47	L-글루탐산칼륨,Monocalcium di-L-Glutamate,,,,,,True,식품첨가물공전
48	글루탐산칼슘,Monocalcium di-L-Glutamate,,,,,,True,식품첨가물공전
49	글리세린,Glycerin,,,,,,True,식품첨가물공전
50	글리세린디아세틸주석산지방산에스테르,Diacetyltartaric Acid and Fatty Acid Esters of Glycerol,,,,,,True,식품첨가물공전
51	글리세린지방산에스테르,Glycerin Esters of Fatty Acids,,,,,,True,식품첨가물공전
52	글리신,Glycine,,,,,,True,식품첨가물공전
53	글리실리진산이나트륨,Disodium Glycyrrhizinate,,,,,,True,식품첨가물공전
54	금박,Gold Leaf,,,,,,True,식품첨가물공전
55	김색소,Laver Color,,,,,,True,식품첨가물공전
56	나린진,Naringin,,,,,,True,식품첨가물공전
57	나타마이신,Natamycin,,,,,,True,식품첨가물공전
58	낙산,Butyric Acid,,,,,,True,식품첨가물공전
59	낙산부틸,Butyl Butyrate,,,,,,True,식품첨가물공전
60	낙산에틸,Ethyl Butyrate,,,,,,True,식품첨가물공전
61	낙산이소아밀,Isoamyl Butyrate,,,,,,True,식품첨가물공전
62	네오탐,Neotame,,,,,,True,식품첨가물공전
63	γ-노나락톤,γ-Nonalactone,,,,,,True,식품첨가물공전
니신,Nisin,,,,,,True,식품첨가물공전
담마검,Dammar Gum,,,,,,True,식품첨가물공전
데칸산에틸,Ethyl Decanoate,,,,,,True,식품첨가물공전
데칸알,Decanal,,,,,,True,식품첨가물공전
데칸올,Decanol,,,,,,True,식품첨가물공전
데히드로초산나트륨,Sodium Dehydroacetate,,,,,,True,식품첨가물공전
덱스트란,Dextran,,,,,,True,식품첨가물공전
동클로로필,Copper Chlorophyll,,,,,,True,식품첨가물공전
동클로로필린나트륨,Sodium Copper Chlorophyllin,,,,,,True,식품첨가물공전
동클로로필린칼륨,Potassium Copper Chlorophyllin,,,,,,True,식품첨가물공전
디부틸히드록시톨루엔,Butylated Hydroxy Toluene,,,,,,True,식품첨가물공전
라우린산,Lauric Acid,,,,,,True,식품첨가물공전
라우릴황산나트륨,Sodium Lauryl Sulfate,,,,,,True,식품첨가물공전
락색소,Lac Color,,,,,,True,식품첨가물공전
락티톨,Lactitol,,,,,,True,식품첨가물공전
레시틴,Lecithin,,,,,,True,식품첨가물공전
로진,Rosin,,,,,,True,식품첨가물공전
로커스트콩검,Locust Bean Gum,,,,,,True,식품첨가물공전
루틴,Rutin,,,,,,True,식품첨가물공전
리나롤,Linalool,,,,,,True,식품첨가물공전
